City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Matara,LK,82.26,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
1,Busselton,AU,52.09,overcast clouds,-33.65,115.3333,Observatory Guest House
3,San Vicente,AR,50.63,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
4,Mar Del Plata,AR,57.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Sylacauga,US,61.05,clear sky,33.1732,-86.2516,"Holiday Inn Express & Suites Sylacauga, an IHG Hotel"
12,Pacific Grove,US,55.76,clear sky,36.6177,-121.9166,Lovers Point Inn
13,Hamilton,US,54.0,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
15,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
16,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
17,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
18,Isangel,VU,71.33,overcast clouds,-19.55,169.2667,Tanna Lodge
19,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Hilo,US,72.81,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Bengkulu,ID,79.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Peterhead,GB,60.46,scattered clouds,57.5058,-1.7981,Palace Hotel
23,Margate,GB,72.97,clear sky,51.3813,1.3862,Premier Inn Margate hotel
24,Sorong,ID,80.37,broken clouds,-0.8833,131.25,waigo splash hotel
25,Ancud,CL,59.23,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
27,Belgrade,RS,58.66,broken clouds,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
28,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
29,Emerald,AU,55.54,clear sky,-23.5333,148.1667,The Irish Village
31,Turochak,RU,68.2,broken clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
32,Raudeberg,NO,65.8,scattered clouds,61.9875,5.1352,Nordre Silda.
33,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
35,Ahipara,NZ,57.2,clear sky,-35.1667,173.1667,Ahipara Holiday Park
36,Rikitea,PF,74.59,broken clouds,-23.1203,-134.9692,Pension Maro'i
39,Cabo San Lucas,MX,77.4,clear sky,22.8909,-109.9124,Tesoro Los Cabos
40,Husavik,IS,55.31,clear sky,66.0449,-17.3389,Bjarnabúð
42,Novo Aripuana,BR,80.22,few clouds,-5.1206,-60.3797,Hotel Ezequiel
44,Bethel,US,51.24,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
45,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
46,Tuzha,RU,56.48,moderate rain,57.6062,47.936,Na Beregu
48,Diego De Almagro,CL,62.01,clear sky,-26.3667,-70.05,hotel luna del desierto
50,Cape Town,ZA,64.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
53,Castro,BR,56.53,light rain,-24.7911,-50.0119,CHACARA BAILLY
54,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
56,Vao,NC,69.55,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
57,Labuhan,ID,80.67,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
58,Arani,IN,98.38,overcast clouds,12.6667,79.2833,KPK LODGE
59,Santa Cruz,BO,60.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
60,Namibe,AO,83.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Puerto Del Rosario,ES,73.08,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
64,Kenmare,IE,64.63,overcast clouds,51.8833,-9.5833,Sheen Falls Lodge
65,Kieta,PG,79.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
66,Katsuura,JP,68.0,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
67,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Kruisfontein,ZA,68.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
70,Uren,RU,56.44,broken clouds,57.4552,45.7852,Kseal'
71,Mizan Teferi,ET,83.91,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
72,Kajaani,FI,53.65,broken clouds,64.2273,27.7285,Original Sokos Hotel Valjus
73,Sitka,US,55.29,moderate rain,57.0531,-135.33,Westmark Sitka
76,Gat,IL,93.0,clear sky,31.61,34.7642,OlusHome
78,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
79,Nikolskoye,RU,59.81,light rain,59.7035,30.7861,Tourist House - Sablino
81,Loiza,PR,82.96,scattered clouds,18.4313,-65.8802,Malibu Beachfront
82,Ixtapa,MX,73.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
84,Jamestown,US,54.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
