City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Matara,LK,5.9485,80.5353,82.26,80,99,14.79,overcast clouds
1,Busselton,AU,-33.65,115.3333,52.09,85,90,7.02,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,29.26,86,19,8.99,few clouds
3,San Vicente,AR,-26.6167,-54.1333,50.63,47,0,3.53,clear sky
4,Mar Del Plata,AR,-38.0023,-57.5575,57.09,59,66,10.0,broken clouds
5,Codrington,AU,-38.2667,141.9667,48.69,43,100,10.09,overcast clouds
6,Sylacauga,US,33.1732,-86.2516,61.05,90,1,0.0,clear sky
7,Aykhal,RU,66.0,111.5,60.91,34,34,15.08,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,49.48,95,100,2.26,overcast clouds
9,Bluff,NZ,-46.6,168.3333,49.8,70,99,6.64,overcast clouds
10,Khatanga,RU,71.9667,102.5,37.13,100,100,6.49,light rain
11,Ushuaia,AR,-54.8,-68.3,29.86,80,75,6.91,broken clouds
12,Pacific Grove,US,36.6177,-121.9166,55.76,92,1,1.99,clear sky
13,Hamilton,US,39.1834,-84.5333,54.0,95,75,0.63,broken clouds
14,Manthani,IN,18.65,79.6667,107.47,20,37,8.25,light rain
15,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,18,3.15,few clouds
16,Butaritari,KI,3.0707,172.7902,82.56,78,22,14.47,few clouds
17,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,20.15,scattered clouds
18,Isangel,VU,-19.55,169.2667,71.33,70,94,11.36,overcast clouds
19,Kapaa,US,22.0752,-159.319,73.38,88,1,5.59,clear sky
20,Hilo,US,19.7297,-155.09,72.81,94,90,4.61,moderate rain
21,Bengkulu,ID,-3.8004,102.2655,79.47,80,90,2.35,overcast clouds
22,Peterhead,GB,57.5058,-1.7981,60.46,85,26,17.09,scattered clouds
23,Margate,GB,51.3813,1.3862,72.97,85,0,10.89,clear sky
24,Sorong,ID,-0.8833,131.25,80.37,84,68,11.92,broken clouds
25,Ancud,CL,-41.8697,-73.8203,59.23,97,100,19.04,moderate rain
26,Barrow,US,71.2906,-156.7887,28.42,80,90,17.27,overcast clouds
27,Belgrade,RS,44.804,20.4651,58.66,61,75,11.18,broken clouds
28,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,11.5,broken clouds
29,Emerald,AU,-23.5333,148.1667,55.54,54,0,5.75,clear sky
30,Paamiut,GL,61.994,-49.6678,35.85,87,100,6.22,overcast clouds
31,Turochak,RU,52.2576,87.1224,68.2,55,79,4.76,broken clouds
32,Raudeberg,NO,61.9875,5.1352,65.8,90,35,7.2,scattered clouds
33,Touros,BR,-5.1989,-35.4608,83.3,72,51,12.5,broken clouds
34,Belaya Gora,RU,68.5333,146.4167,61.66,38,45,9.66,scattered clouds
35,Ahipara,NZ,-35.1667,173.1667,57.2,81,9,11.88,clear sky
36,Rikitea,PF,-23.1203,-134.9692,74.59,63,67,10.22,broken clouds
37,New Norfolk,AU,-42.7826,147.0587,44.1,82,100,3.69,overcast clouds
38,Abu Samrah,SY,35.3029,37.1841,98.33,10,0,23.15,clear sky
39,Cabo San Lucas,MX,22.8909,-109.9124,77.4,25,1,0.0,clear sky
40,Husavik,IS,66.0449,-17.3389,55.31,47,0,14.94,clear sky
41,Pemberton,CA,50.3164,-122.8027,49.86,96,90,0.81,overcast clouds
42,Novo Aripuana,BR,-5.1206,-60.3797,80.22,70,18,2.17,few clouds
43,Maniitsoq,GL,65.4167,-52.9,33.8,100,100,17.72,light rain
44,Bethel,US,41.3712,-73.414,51.24,92,100,1.01,overcast clouds
45,Esperance,AU,-33.8667,121.9,60.64,80,99,27.25,overcast clouds
46,Tuzha,RU,57.6062,47.936,56.48,40,60,8.88,moderate rain
47,Cidreira,BR,-30.1811,-50.2056,49.32,63,0,8.23,clear sky
48,Diego De Almagro,CL,-26.3667,-70.05,62.01,20,0,4.81,clear sky
49,Yar-Sale,RU,66.8333,70.8333,48.85,35,71,15.37,broken clouds
50,Cape Town,ZA,-33.9258,18.4232,64.11,72,75,4.0,light rain
51,Chokurdakh,RU,70.6333,147.9167,57.29,43,60,13.8,broken clouds
52,Saskylakh,RU,71.9167,114.0833,47.41,77,9,13.82,clear sky
53,Castro,BR,-24.7911,-50.0119,56.53,98,100,2.33,light rain
54,Atuona,PF,-9.8,-139.0333,78.24,74,6,12.06,clear sky
55,Yellowknife,CA,62.456,-114.3525,38.32,75,20,3.0,few clouds
56,Vao,NC,-22.6667,167.4833,69.55,59,68,16.31,broken clouds
57,Labuhan,ID,-6.8844,112.2051,80.67,81,98,4.43,overcast clouds
58,Arani,IN,12.6667,79.2833,98.38,33,100,11.7,overcast clouds
59,Santa Cruz,BO,-17.8,-63.1667,60.26,82,75,11.5,broken clouds
60,Namibe,AO,-15.1961,12.1522,83.75,46,0,8.55,clear sky
61,Marystown,CA,47.1666,-55.1483,46.99,76,84,6.44,broken clouds
62,Puerto Del Rosario,ES,28.5004,-13.8627,73.08,68,75,17.27,broken clouds
63,Punta Arenas,CL,-53.15,-70.9167,28.42,86,75,3.62,broken clouds
64,Kenmare,IE,51.8833,-9.5833,64.63,72,99,11.63,overcast clouds
65,Kieta,PG,-6.2167,155.6333,79.54,85,92,5.93,light rain
